model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,300,32.0,3,5,,False,balanced,0.9990791677581704,0.8385379701916252,0.16054119756654517
RandomForest,300,25.0,2,5,,False,balanced,0.9990791677581704,0.8385379701916252,0.16054119756654517
RandomForest,300,29.0,6,5,,False,balanced,0.9990791677581704,0.8385379701916252,0.16054119756654517
RandomForest,100,29.0,5,4,,False,balanced,0.9992458701467775,0.8251863023420866,0.1740595678046909
RandomForest,100,26.0,2,4,,False,balanced,0.9992458701467775,0.8251863023420866,0.1740595678046909
RandomForest,150,38.0,4,3,,False,balanced,0.9993887579084407,0.8251419446415897,0.174246813266851
RandomForest,100,23.0,6,3,,False,balanced,0.9993887579084407,0.8251419446415897,0.174246813266851
RandomForest,300,26.0,2,3,,False,balanced,0.9994046343264033,0.8251419446415897,0.1742626896848135
RandomForest,200,38.0,3,3,,False,balanced,0.9994046343264033,0.8251419446415897,0.1742626896848135
RandomForest,100,39.0,6,2,,False,balanced,0.9995554602970478,0.8244765791341376,0.17507888116291015
RandomForest,100,24.0,8,2,,False,balanced,0.9994840164162162,0.8243435060326473,0.17514051038356893
RandomForest,300,27.0,8,2,,False,balanced,0.9994840164162162,0.8242547906316536,0.17522922578456257
RandomForest,300,31.0,2,2,,False,balanced,0.9996348423868606,0.82416607523066,0.17546876715620063
RandomForest,200,31.0,3,2,,False,balanced,0.9996348423868606,0.8240330021291696,0.175601840257691
RandomForest,200,38.0,10,2,,False,balanced,0.999396696117422,0.8236781405251952,0.17571855559222682
RandomForest,100,37.0,10,2,,True,,0.9994363871623284,0.8214602555003548,0.17797613166197357
RandomForest,300,35.0,8,2,,True,balanced_subsample,0.9994998928341787,0.8196415897799858,0.17985830305419293
RandomForest,300,24.0,7,2,,True,,0.9995554602970478,0.8194198012775018,0.18013565901954598
RandomForest,100,32.0,2,2,,True,balanced_subsample,0.9996665952227858,0.8192423704755145,0.18042422474727127
RandomForest,300,23.0,8,2,,True,,0.9995395838790851,0.8187987934705465,0.18074079040853863
RandomForest,300,32.0,8,2,,True,,0.9995316456701039,0.8187544357700497,0.1807772099000542
RandomForest,100,33.0,2,7,,False,balanced,0.9986901955180872,0.8181334279630944,0.18055676755499284
RandomForest,300,33.0,2,7,,False,balanced,0.9986901955180872,0.8181334279630944,0.18055676755499284
RandomForest,200,21.0,3,7,,False,balanced,0.9986981337270685,0.8181334279630944,0.1805647057639741
RandomForest,200,31.0,6,7,,False,balanced,0.9986981337270685,0.8181334279630944,0.1805647057639741
RandomForest,200,38.0,5,7,,False,balanced,0.9986981337270685,0.8181334279630944,0.1805647057639741
RandomForest,100,39.0,9,4,,True,balanced,0.9991744262659459,0.8165365507452094,0.18263787552073651
RandomForest,300,28.0,9,3,,True,balanced,0.9993331904455717,0.8163147622427254,0.1830184282028463
RandomForest,150,21.0,13,3,,True,balanced,0.9992379319377962,0.8158711852377573,0.18336674670003894
RandomForest,50,30.0,14,4,,True,,0.9990632913402078,0.8152058197303051,0.18385747160990262
RandomForest,300,31.0,9,3,,True,,0.9993649432814968,0.8151614620298083,0.1842034812516885
RandomForest,100,20.0,14,3,,True,balanced_subsample,0.9991664880569646,0.8151171043293116,0.184049383727653
RandomForest,150,31.0,10,3,,True,balanced_subsample,0.9992934994006653,0.815028388928318,0.18426511047234728
RandomForest,100,31.0,4,3,,True,balanced_subsample,0.9994681399982536,0.8148953158268275,0.18457282417142606
RandomForest,100,32.0,10,3,,True,balanced_subsample,0.9992696847737214,0.814806600425834,0.18446308434788738
RandomForest,300,35.0,8,4,,True,balanced_subsample,0.9992299937288149,0.8146735273243435,0.18455646640447143
RandomForest,300,39.0,2,4,,True,balanced_subsample,0.9992299937288149,0.8146735273243435,0.18455646640447143
RandomForest,200,29.0,4,4,,True,balanced_subsample,0.9992299937288149,0.8139194464158978,0.18531054731291718
RandomForest,200,32.0,4,4,,True,balanced_subsample,0.9992299937288149,0.8139194464158978,0.18531054731291718
RandomForest,100,43.0,5,3,,True,,0.9994443253713097,0.813875088715401,0.18556923665590863
RandomForest,300,31.0,7,4,,True,,0.9992220555198336,0.8135645848119234,0.18565747070791017
RandomForest,200,27.0,4,5,,True,balanced_subsample,0.999039476713264,0.8132984386089425,0.18574103810432152
RandomForest,200,40.0,6,5,,True,balanced_subsample,0.999039476713264,0.8132984386089425,0.18574103810432152
RandomForest,100,24.0,6,6,,False,balanced,0.9988410214887317,0.8128548616039745,0.1859861598847572
RandomForest,300,38.0,2,5,,True,,0.9990474149222452,0.8128548616039745,0.18619255331827078
RandomForest,100,37.0,5,5,,True,balanced_subsample,0.9990474149222452,0.8127661462029808,0.18628126871926443
RandomForest,200,35.0,4,6,,True,balanced_subsample,0.9989283417875259,0.812721788502484,0.18620655328504188
RandomForest,150,28.0,2,6,,True,balanced_subsample,0.9989283417875259,0.8125,0.18642834178752588
RandomForest,100,27.0,10,5,,True,balanced,0.9990236002953014,0.812278211497516,0.18674538879778535
RandomForest,200,40.0,20,5,,True,,0.9987457629809562,0.8122338537970192,0.186511909183937
RandomForest,100,35.0,4,4,,True,,0.9992299937288149,0.8106369765791341,0.1885930171496808
RandomForest,300,40.0,5,6,,True,balanced,0.998904527160582,0.8105926188786373,0.18831190828194466
RandomForest,200,31.0,2,7,,True,balanced,0.9988172068617879,0.8074875798438609,0.191329627017927
RandomForest,100,38.0,7,5,,True,,0.9990315385042826,0.8067334989354152,0.19229803956886737
RandomForest,300,31.0,6,7,,True,balanced_subsample,0.9988013304438252,0.8066004258339248,0.19220090460990047
RandomForest,100,34.0,8,1,,True,balanced,0.9996665952227858,0.806334279630944,0.19333231559184183
RandomForest,150,19.0,10,7,,True,balanced,0.9987775158168813,0.8059794180269695,0.19279809778991186
RandomForest,300,32.0,3,6,,True,,0.9988807125336382,0.8052253371185237,0.19365537541511446
RandomForest,100,40.0,8,6,,True,,0.9988648361156756,0.8050922640170334,0.19377257209864218
RandomForest,150,30.0,19,10,,False,balanced,0.9984441110396672,0.8048704755145494,0.19357363552511786
RandomForest,150,32.0,5,1,,False,balanced,0.9997856683575052,0.8039833215046132,0.195802346852892
RandomForest,300,34.0,7,1,,False,balanced,0.9996665952227858,0.8038946061036196,0.19577198911916616
RandomForest,300,39.0,6,1,,True,balanced_subsample,0.9997380391036175,0.8038946061036196,0.19584343299999785
RandomForest,300,25.0,8,8,,False,balanced,0.998602875219293,0.8038502484031228,0.19475262681617023
RandomForest,150,29.0,6,3,,False,,0.9994760782072348,0.803584102200142,0.19589197600709285
RandomForest,100,33.0,4,8,,True,balanced,0.9986663808911433,0.8031405251951739,0.19552585569596947
RandomForest,100,30.0,3,6,,False,,0.998848959697713,0.8030074520936835,0.19584150760402952
RandomForest,100,32.0,5,8,,True,balanced_subsample,0.9986584426821621,0.8026082327892122,0.19605020989294986
RandomForest,150,13.0,9,3,,True,,0.9983885435767982,0.8024751596877218,0.19591338388907642
RandomForest,100,22.0,2,2,,False,,0.9996745334317672,0.8018541518807665,0.19782038155100068
RandomForest,200,36.0,8,2,,False,,0.9994998928341787,0.8013662171753017,0.19813367565887707
RandomForest,150,27.0,9,2,,False,,0.9994205107443659,0.8009226401703335,0.19849787057403234
RandomForest,300,28.0,8,5,,False,,0.9990950441761329,0.7991483321504613,0.1999467120256716
RandomForest,300,42.0,8,5,,False,,0.9990950441761329,0.7991483321504613,0.1999467120256716
RandomForest,150,24.0,3,8,,True,balanced,0.998714010145031,0.7990152590489709,0.19969875109606017
RandomForest,150,36.0,3,6,,False,,0.998848959697713,0.7989265436479773,0.1999224160497357
RandomForest,150,20.0,17,9,,True,balanced,0.9984838020845737,0.7971078779276083,0.20137592415696537
RandomForest,100,34.0,6,3,,False,,0.9994760782072348,0.7967973740241305,0.2026787041831043
RandomForest,300,31.0,8,3,,False,,0.9994046343264033,0.7967530163236338,0.20265161800276943
RandomForest,200,45.0,14,4,,False,,0.9990950441761329,0.7921841731724627,0.20691087100367023
RandomForest,150,29.0,2,5,,False,,0.9990950441761329,0.7920954577714692,0.20699958640466376
RandomForest,200,42.0,6,6,,False,,0.998848959697713,0.7917849538679915,0.2070640058297215
RandomForest,300,38.0,4,6,,False,,0.998848959697713,0.7917849538679915,0.2070640058297215
RandomForest,300,39.0,6,6,,False,,0.998848959697713,0.7917849538679915,0.2070640058297215
RandomForest,200,37.0,4,6,,False,,0.998848959697713,0.7917849538679915,0.2070640058297215
RandomForest,300,40.0,4,6,,False,,0.998848959697713,0.7917849538679915,0.2070640058297215
RandomForest,150,38.0,8,1,,False,,0.9996904098497297,0.7893896380411639,0.21030077180856577
RandomForest,150,41.0,7,4,,False,,0.9993093758186278,0.7893452803406671,0.2099640954779607
RandomForest,300,35.0,7,4,,False,,0.9993093758186278,0.7893452803406671,0.2099640954779607
RandomForest,200,24.0,6,4,,False,,0.9993093758186278,0.7893452803406671,0.2099640954779607
RandomForest,300,25.0,6,4,,False,,0.9993093758186278,0.7893452803406671,0.2099640954779607
RandomForest,100,30.0,9,7,,True,,0.9987457629809562,0.785264371894961,0.21348139108599518
RandomForest,300,29.0,2,7,,True,,0.9987854540258627,0.7847320794889993,0.21405337453686346
RandomForest,300,24.0,7,7,,True,,0.9987854540258627,0.7842885024840313,0.21449695154183146
RandomForest,100,30.0,3,8,,True,,0.9986346280552182,0.7824254790631654,0.2162091489920528
RandomForest,100,35.0,7,7,,False,,0.9987378247719749,0.7824254790631654,0.21631234570880953
RandomForest,100,40.0,6,7,,False,,0.9987378247719749,0.7824254790631654,0.21631234570880953
RandomForest,200,38.0,7,8,,True,,0.9986584426821621,0.7819375443577005,0.21672089832446162
RandomForest,300,37.0,8,8,,False,,0.9985949370103118,0.7818044712562101,0.21679046575410166
RandomForest,150,22.0,8,8,,True,,0.9986505044731807,0.7817601135557133,0.21689039091746742
RandomForest,100,32.0,8,2,log2,True,balanced,0.9989839092503949,0.7794535131298793,0.21953039612051561
RandomForest,200,30.0,2,7,,False,,0.9987378247719749,0.7783445706174592,0.22039325415451572
RandomForest,300,36.0,7,7,,False,,0.9987378247719749,0.7783445706174592,0.22039325415451572
RandomForest,300,33.0,4,7,,False,,0.9987378247719749,0.7783445706174592,0.22039325415451572
RandomForest,150,23.0,2,2,sqrt,False,balanced,0.9996665952227858,0.7782114975159687,0.22145509770681704
RandomForest,100,22.0,9,3,sqrt,False,,0.999317314027609,0.7779897090134847,0.2213276050141243
RandomForest,150,24.0,6,8,,False,,0.9985949370103118,0.7777235628105039,0.22087137419980785
RandomForest,200,39.0,3,1,sqrt,True,balanced,0.999920617910187,0.776792051100071,0.22312856681011606
RandomForest,150,21.0,4,2,sqrt,False,,0.9996030895509355,0.7752838892831796,0.22431920026775587
RandomForest,100,25.0,6,4,sqrt,False,balanced,0.9991664880569646,0.7745741660752307,0.22459232198173396
RandomForest,100,28.0,6,4,sqrt,False,balanced,0.9991664880569646,0.7743523775727467,0.22481411048421795
RandomForest,150,39.0,2,4,sqrt,False,balanced,0.9992538083557587,0.7739975159687722,0.22525629238698652
RandomForest,100,21.0,5,4,sqrt,True,balanced,0.9986346280552182,0.7738644428672817,0.22477018518793646
RandomForest,150,33.0,5,2,log2,True,,0.9990156620863201,0.7733321504613201,0.225683511625
RandomForest,150,34.0,3,5,sqrt,True,balanced_subsample,0.9984679256666111,0.7729772888573456,0.2254906368092655
RandomForest,100,26.0,10,3,log2,False,,0.9986266898462369,0.7727111426543648,0.22591554719187212
RandomForest,200,19.0,14,1,sqrt,True,balanced,0.9991585498479832,0.7727111426543648,0.22644740719361844
RandomForest,150,24.0,6,4,sqrt,True,balanced_subsample,0.998714010145031,0.7723562810503903,0.2263577290946407
RandomForest,200,32.0,2,2,sqrt,True,,0.999452263580291,0.7719127040454223,0.2275395595348687
RandomForest,200,41.0,5,4,sqrt,False,balanced,0.9992299937288149,0.7709811923349894,0.22824880139382553
RandomForest,200,36.0,4,5,sqrt,True,balanced_subsample,0.9984520492486485,0.7701827537260468,0.22826929552260167
RandomForest,200,31.0,15,5,sqrt,False,balanced,0.9987616393989188,0.7701827537260468,0.228578885672872
RandomForest,200,24.0,3,2,sqrt,True,balanced_subsample,0.9994602017892723,0.7700053229240597,0.22945487886521265
RandomForest,300,24.0,2,1,sqrt,False,,0.999944432537131,0.769694819020582,0.23024961351654893
RandomForest,150,26.0,17,6,sqrt,True,balanced_subsample,0.9983091614869853,0.7695173882185947,0.22879177326839062
RandomForest,100,29.0,4,3,sqrt,True,balanced,0.9989680328324323,0.7695173882185947,0.22945064461383757
RandomForest,300,16.0,18,1,sqrt,False,,0.9991109205940956,0.7695173882185947,0.22959353237550084
RandomForest,200,33.0,7,2,sqrt,True,balanced_subsample,0.9993808196994594,0.7695173882185947,0.22986343148086463
RandomForest,200,38.0,11,2,sqrt,True,balanced,0.9992379319377962,0.7694730305180979,0.2297649014196983
RandomForest,200,47.0,12,5,sqrt,False,balanced,0.998960094623451,0.7692512420156139,0.22970885260783713
RandomForest,100,21.0,11,1,log2,True,balanced,0.9991664880569646,0.7692068843151171,0.22995960374184754
RandomForest,300,42.0,5,3,sqrt,True,balanced,0.9989918474593762,0.7691625266146203,0.22982932084475594
RandomForest,100,37.0,4,3,sqrt,False,balanced,0.9995237074611226,0.7690738112136267,0.2304498962474959
RandomForest,150,34.0,5,8,sqrt,True,,0.9979836949187524,0.7690294535131299,0.22895424140562248
RandomForest,150,38.0,7,2,sqrt,False,,0.9997062862676923,0.7687189496096523,0.23098733665804005
RandomForest,50,30.0,3,6,log2,False,,0.9980233859636589,0.7686302342086586,0.2293931517550003
RandomForest,50,39.0,19,5,sqrt,False,balanced,0.9986584426821621,0.7686302342086586,0.23002820847350347
RandomForest,150,37.0,7,7,sqrt,False,balanced,0.9985869988013304,0.7684084457061746,0.23017855309515578
RandomForest,150,37.0,5,7,sqrt,False,balanced,0.9985869988013304,0.7684084457061746,0.23017855309515578
RandomForest,100,19.0,6,1,sqrt,True,balanced,0.9995713367150103,0.768319730305181,0.23125160640982934
RandomForest,300,25.0,2,2,sqrt,False,,0.9997380391036175,0.768319730305181,0.2314183087984365
RandomForest,150,26.0,16,2,sqrt,False,,0.9994840164162162,0.7675656493967353,0.23191836701948088
RandomForest,300,29.0,8,2,log2,True,balanced,0.998848959697713,0.7673438608942512,0.23150509880346182
RandomForest,150,35.0,7,3,sqrt,False,balanced,0.9994840164162162,0.7672551454932577,0.23222887092295852
RandomForest,150,37.0,3,6,log2,False,,0.9980789534265279,0.7671220723917672,0.23095688103476064
RandomForest,100,21.0,8,4,log2,True,balanced_subsample,0.997999571336715,0.76694464158978,0.23105492974693498
RandomForest,150,32.0,5,6,log2,False,,0.9980154477546775,0.76694464158978,0.2310708061648975
RandomForest,300,34.0,2,3,sqrt,False,balanced,0.9995237074611226,0.7669002838892832,0.2326234235718394
RandomForest,300,23.0,7,2,sqrt,False,balanced,0.999642780595842,0.7669002838892832,0.23274249670655878
RandomForest,100,28.0,3,4,sqrt,True,balanced_subsample,0.9986901955180872,0.7668115684882896,0.23187862702979767
