model,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,train_acc,test_acc,gap
DecisionTree,28,8,11,entropy,random,1e-05,0.9967612107356338,0.8419535131298793,0.15480769760575452
DecisionTree,25,6,6,entropy,random,1e-06,0.997586784469688,0.8397799858055358,0.15780679866415215
DecisionTree,30,17,15,entropy,random,0.0,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,24,11,15,log_loss,random,0.0,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,33,13,15,log_loss,random,1e-06,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,31,7,15,entropy,random,1e-05,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,30,16,15,entropy,random,0.0,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,20,4,11,entropy,random,0.0,0.9964516205853635,0.8314850958126331,0.16496652477273044
DecisionTree,24,16,10,gini,random,1e-06,0.9960705865542616,0.8264283179559971,0.16964226859826448
DecisionTree,32,9,15,log_loss,random,0.0001,0.995395838790852,0.8215933286018453,0.17380251018900672
DecisionTree,23,5,11,gini,random,1e-06,0.9956339850602907,0.8215933286018453,0.17404065645844535
DecisionTree,25,4,9,gini,random,1e-06,0.9967532725266526,0.819597232079489,0.1771560404471636
DecisionTree,14,8,20,gini,best,0.001,0.9919189032570471,0.8190649396735273,0.1728539635835198
DecisionTree,23,8,11,gini,best,0.001,0.9919189032570471,0.8190649396735273,0.1728539635835198
DecisionTree,2,34,6,gini,best,1e-06,0.9565700586633644,0.8152945351312988,0.14127552353206563
DecisionTree,28,14,10,gini,random,0.0001,0.9954672826716836,0.8151171043293116,0.180350178342372
DecisionTree,33,6,7,entropy,random,1e-05,0.9974042056631183,0.8144073811213627,0.1829968245417556
DecisionTree,26,2,7,gini,random,0.0001,0.99575305819501,0.8143630234208659,0.18139003477414417
DecisionTree,32,10,7,entropy,random,1e-06,0.9974359584990434,0.8142743080198722,0.1831616504791712
DecisionTree,30,8,11,gini,random,0.0001,0.9944829447580037,0.8133427963094393,0.1811401484485644
DecisionTree,33,15,16,gini,random,0.0001,0.9948877934160495,0.8133427963094393,0.1815449971066102
DecisionTree,27,17,7,entropy,random,0.0,0.9971422447667357,0.812721788502484,0.18442045626425174
DecisionTree,25,11,11,gini,random,0.0001,0.9947290292364237,0.8120120652945352,0.18271696394188852
DecisionTree,24,23,11,entropy,random,0.001,0.9903630142967144,0.8110805535841022,0.1792824607126121
DecisionTree,25,12,13,gini,random,0.0001,0.9954752208806649,0.810681334279631,0.1847938866010339
DecisionTree,31,36,14,gini,random,1e-06,0.9960467719273177,0.8104151880766501,0.18563158385066758
DecisionTree,8,29,14,gini,random,0.0,0.9907043572829098,0.8094836763662172,0.18122068091669263
DecisionTree,24,15,11,log_loss,random,0.0,0.996626261182952,0.8085521646557843,0.18807409652716767
DecisionTree,27,17,13,gini,random,1e-05,0.9963404856596255,0.8071327182398864,0.1892077674197391
DecisionTree,29,18,13,gini,random,1e-06,0.9963404856596255,0.8071327182398864,0.1892077674197391
DecisionTree,13,12,9,entropy,random,1e-06,0.9954514062537211,0.8069552874378992,0.18849611881582184
DecisionTree,25,12,4,entropy,random,1e-05,0.9979201892469021,0.8064673527324343,0.19145283651446776
DecisionTree,29,13,11,entropy,random,1e-05,0.9966977050637835,0.8063786373314408,0.19031906773234275
DecisionTree,29,17,12,gini,random,0.0001,0.9954434680447397,0.8058019872249823,0.1896414808197574
DecisionTree,33,40,1,entropy,random,1e-05,0.9976661665595008,0.8054471256210078,0.19221904093849296
DecisionTree,20,30,1,gini,random,0.0001,0.9958562549117668,0.8051366217175302,0.19071963319423657
DecisionTree,23,5,13,gini,best,0.0,0.9980551387995841,0.8051366217175302,0.19291851708205388
DecisionTree,27,9,13,gini,best,0.0,0.9980551387995841,0.8051366217175302,0.19291851708205388
DecisionTree,27,12,6,gini,random,1e-05,0.9974518349170061,0.8044712562100781,0.19298057870692797
DecisionTree,23,7,15,entropy,random,1e-05,0.9958800695387107,0.8038502484031228,0.19202982113558786
DecisionTree,27,16,6,gini,random,1e-06,0.9972851325283989,0.8038502484031228,0.1934348841252761
DecisionTree,28,7,9,gini,random,1e-06,0.996904098497297,0.8034953867991483,0.19340871169814866
DecisionTree,31,10,6,log_loss,random,0.001,0.9913473522103943,0.8022977288857346,0.1890496233246597
DecisionTree,34,20,10,entropy,random,1e-06,0.9966738904368396,0.8022533711852378,0.19442051925160186
DecisionTree,30,14,10,log_loss,random,1e-06,0.9966738904368396,0.8022533711852378,0.19442051925160186
DecisionTree,27,16,10,entropy,random,1e-06,0.9966738904368396,0.8022533711852378,0.19442051925160186
DecisionTree,24,8,10,log_loss,random,1e-06,0.9966738904368396,0.8022533711852378,0.19442051925160186
DecisionTree,24,15,10,log_loss,random,1e-06,0.9966738904368396,0.8022533711852378,0.19442051925160186
DecisionTree,33,14,10,log_loss,random,1e-05,0.9966659522278584,0.8019428672817601,0.19472308494609825
DecisionTree,25,6,10,log_loss,random,0.0001,0.9962690417787938,0.8018541518807665,0.19441488989802735
DecisionTree,18,40,2,log_loss,best,0.0,0.9985314313384615,0.8014549325762953,0.19707649876216615
DecisionTree,25,6,12,log_loss,random,0.001,0.9883625856334294,0.8013218594748048,0.18704072615862455
DecisionTree,30,15,12,gini,best,1e-05,0.9981265826804157,0.8011000709723208,0.19702651170809482
DecisionTree,31,4,12,gini,best,1e-06,0.9981265826804157,0.8011000709723208,0.19702651170809482
DecisionTree,33,12,12,gini,best,1e-05,0.9981265826804157,0.8011000709723208,0.19702651170809482
DecisionTree,11,11,8,entropy,random,1e-05,0.9948163495352179,0.801055713271824,0.1937606362633939
DecisionTree,31,17,14,gini,random,1e-05,0.9962769799877752,0.8003016323633783,0.19597534762439695
DecisionTree,31,14,14,gini,random,1e-05,0.9962769799877752,0.8003016323633783,0.19597534762439695
DecisionTree,31,32,7,log_loss,random,1e-05,0.9969199749152596,0.7997693399574166,0.19715063495784302
DecisionTree,24,4,9,log_loss,random,0.0,0.996959665960166,0.7993701206529453,0.19758954530722073
DecisionTree,27,5,9,entropy,random,0.0,0.996959665960166,0.7993701206529453,0.19758954530722073
DecisionTree,18,28,12,log_loss,random,0.001,0.9917125098235336,0.7991926898509581,0.1925198199725755
DecisionTree,30,17,9,entropy,random,1e-05,0.9969437895422035,0.7987934705464869,0.19815031899571667
DecisionTree,32,13,9,log_loss,random,1e-05,0.9969437895422035,0.7987934705464869,0.19815031899571667
DecisionTree,30,3,9,log_loss,random,1e-05,0.9969437895422035,0.7987934705464869,0.19815031899571667
DecisionTree,30,17,7,log_loss,random,0.0,0.997039048049979,0.7983942512420156,0.19864479680796343
DecisionTree,26,11,7,entropy,random,0.001,0.990188373699126,0.7981281050390348,0.1920602686600913
DecisionTree,17,33,8,entropy,random,0.0001,0.9965865701380454,0.7975958126330731,0.1989907575049723
DecisionTree,25,3,12,gini,random,1e-06,0.9961340922261119,0.7972409510290986,0.1988931411970133
DecisionTree,13,39,16,gini,best,0.01,0.9731609154342598,0.7961763662171752,0.1769845492170845
DecisionTree,29,3,10,log_loss,random,0.001,0.9913076611654879,0.795333569907736,0.1959740912577519
DecisionTree,35,34,11,log_loss,best,1e-05,0.9979678185007899,0.7944907735982967,0.2034770449024932
DecisionTree,27,21,2,log_loss,best,0.0001,0.9985552459654052,0.7942689850958127,0.20428626086959256
DecisionTree,30,5,1,entropy,random,0.0001,0.9973327617822867,0.7934705464868701,0.2038622152954166
DecisionTree,10,26,1,gini,best,0.0,0.9976344137235756,0.7926277501774308,0.20500666354614483
DecisionTree,18,22,3,gini,best,1e-06,0.9989839092503949,0.7920954577714692,0.20688845147892576
DecisionTree,27,3,7,gini,random,1e-05,0.9969914187960912,0.7915188076650106,0.20547261113108062
DecisionTree,30,15,9,gini,random,0.0001,0.9954514062537211,0.7909421575585521,0.20450924869516895
DecisionTree,33,14,6,entropy,random,1e-05,0.9974915259619125,0.7903655074520937,0.20712601850981882
DecisionTree,22,15,6,entropy,random,0.001,0.9915378692259452,0.7903211497515968,0.20121671947434838
DecisionTree,4,6,14,log_loss,best,1e-05,0.9823295468076493,0.789833215046132,0.19249633176151726
DecisionTree,23,16,6,log_loss,random,1e-05,0.9969120367062784,0.789833215046132,0.20707882166014635
DecisionTree,4,14,9,gini,random,1e-05,0.9728036960301016,0.789611426543648,0.18319226948645362
DecisionTree,30,6,8,log_loss,random,0.001,0.9921570495264859,0.7893009226401704,0.2028561268863155
DecisionTree,28,10,9,entropy,best,1e-05,0.998301223278004,0.7892122072391767,0.20908901603882724
DecisionTree,30,10,9,entropy,best,0.0,0.9983091614869853,0.7892122072391767,0.2090969542478086
DecisionTree,26,7,9,entropy,best,0.0,0.9983091614869853,0.7892122072391767,0.2090969542478086
DecisionTree,23,6,9,entropy,best,1e-06,0.9983091614869853,0.7892122072391767,0.2090969542478086
DecisionTree,20,9,5,log_loss,best,1e-05,0.9989124653695634,0.7885468417317246,0.21036562363783873
DecisionTree,28,30,11,entropy,best,0.0,0.9980630770085653,0.788458126330731,0.20960495067783436
DecisionTree,34,24,9,log_loss,best,1e-05,0.9981345208893969,0.788458126330731,0.20967639455866594
DecisionTree,24,22,5,log_loss,best,1e-05,0.998547307756424,0.7883250532292406,0.21022225452718335
DecisionTree,8,29,9,entropy,best,1e-05,0.9967373961086899,0.7881919801277502,0.20854541598093979
DecisionTree,29,14,12,entropy,best,1e-05,0.9980948298444905,0.7877484031227822,0.21034642672170833
DecisionTree,20,11,6,log_loss,best,0.0,0.9987537011899376,0.7873491838183109,0.2114045173716267
DecisionTree,29,15,13,entropy,best,1e-05,0.9980948298444905,0.787304826117814,0.21079000372667644
DecisionTree,27,16,13,entropy,best,1e-05,0.9980948298444905,0.787304826117814,0.21079000372667644
DecisionTree,5,29,8,log_loss,random,1e-05,0.9738674160335945,0.7871717530163236,0.18669566301727092
DecisionTree,6,2,13,log_loss,best,1e-06,0.9912679701205814,0.7871717530163236,0.20409621710425785
DecisionTree,27,7,8,log_loss,best,1e-06,0.9984758638755924,0.7871717530163236,0.2113041108592688
DecisionTree,31,5,8,entropy,best,1e-06,0.9984758638755924,0.7871717530163236,0.2113041108592688
DecisionTree,23,4,8,log_loss,best,0.0001,0.9982535940241163,0.7869943222143364,0.21125927180977988
DecisionTree,35,10,11,log_loss,best,1e-06,0.9981424590983782,0.7868612491128459,0.21128120998553224
DecisionTree,29,17,11,log_loss,best,0.0,0.9981424590983782,0.7868612491128459,0.21128120998553224
DecisionTree,32,15,11,log_loss,best,1e-05,0.9981424590983782,0.7868612491128459,0.21128120998553224
DecisionTree,31,13,11,entropy,best,0.0,0.9981424590983782,0.7868612491128459,0.21128120998553224
DecisionTree,27,8,11,entropy,best,1e-06,0.9981424590983782,0.7868612491128459,0.21128120998553224
DecisionTree,24,10,7,entropy,random,0.0,0.9974518349170061,0.7865951029098651,0.21085673200714095
DecisionTree,26,13,10,entropy,best,1e-05,0.9982377176061537,0.7865951029098651,0.21164261469628853
DecisionTree,28,18,10,log_loss,best,1e-05,0.9982377176061537,0.7865951029098651,0.21164261469628853
DecisionTree,32,10,10,log_loss,best,1e-06,0.9982377176061537,0.7865951029098651,0.21164261469628853
DecisionTree,24,11,7,entropy,best,1e-05,0.9986346280552182,0.7864620298083748,0.21217259824684342
DecisionTree,32,5,7,entropy,best,1e-05,0.9986346280552182,0.7864620298083748,0.21217259824684342
DecisionTree,25,4,7,log_loss,best,0.0001,0.9983250379049479,0.7863733144073811,0.21195172349756675
DecisionTree,33,17,7,entropy,best,0.0,0.9985631841743866,0.7862845990063875,0.21227858516799913
DecisionTree,24,17,7,log_loss,best,1e-05,0.9985631841743866,0.7862845990063875,0.21227858516799913
DecisionTree,30,17,6,log_loss,best,1e-05,0.998602875219293,0.7862402413058907,0.21236263391340238
DecisionTree,26,16,6,entropy,best,1e-06,0.9986346280552182,0.7861515259048971,0.21248310215032107
DecisionTree,25,10,13,log_loss,random,0.0001,0.9962531653608313,0.7849982256919801,0.21125493966885123
DecisionTree,5,24,17,entropy,random,0.001,0.9736848372270248,0.7848207948899929,0.1888640423370319
DecisionTree,31,8,14,gini,best,0.0,0.9979916331277338,0.7845546486870121,0.21343698444072168
DecisionTree,28,9,11,gini,best,1e-06,0.9981742119343033,0.7845102909865153,0.21366392094778808
DecisionTree,27,6,11,gini,best,0.0,0.9981742119343033,0.7845102909865153,0.21366392094778808
DecisionTree,23,13,14,gini,random,0.001,0.9852904987576703,0.7839779985805536,0.20131250017711666
DecisionTree,28,15,14,entropy,random,0.0,0.9962769799877752,0.7839336408800568,0.2123433391077184
DecisionTree,33,2,14,entropy,random,1e-05,0.9962769799877752,0.7839336408800568,0.2123433391077184
DecisionTree,20,15,10,gini,best,0.0001,0.9976899811864447,0.78388928317956,0.21380069800688473
DecisionTree,26,9,11,gini,best,0.0001,0.9976899811864447,0.78388928317956,0.21380069800688473
DecisionTree,24,2,11,gini,best,0.0001,0.9976899811864447,0.78388928317956,0.21380069800688473
DecisionTree,25,11,13,entropy,random,0.0,0.9964913116302699,0.7837118523775728,0.21277945925269715
DecisionTree,28,9,13,entropy,random,1e-05,0.9964754352123074,0.783667494677076,0.21280794053523144
DecisionTree,32,15,13,log_loss,random,1e-05,0.9964754352123074,0.783667494677076,0.21280794053523144
DecisionTree,28,35,7,log_loss,random,0.0,0.9964595587943448,0.7835344215755855,0.21292513721875928
DecisionTree,25,7,9,gini,best,1e-06,0.9983964817857794,0.7834457061745919,0.21495077561118758
DecisionTree,26,4,9,gini,best,1e-06,0.9983964817857794,0.7834457061745919,0.21495077561118758
DecisionTree,30,3,9,gini,best,1e-05,0.9983964817857794,0.7834457061745919,0.21495077561118758
DecisionTree,23,15,9,gini,best,1e-05,0.9983964817857794,0.7834457061745919,0.21495077561118758
DecisionTree,31,12,9,gini,best,1e-05,0.9983964817857794,0.7834457061745919,0.21495077561118758
DecisionTree,8,7,17,entropy,random,1e-05,0.9881403157819533,0.7832239176721079,0.2049163981098454
DecisionTree,29,17,7,log_loss,random,0.0,0.9972692561104364,0.7818931866572036,0.21537606945323273
DecisionTree,29,15,1,entropy,random,1e-06,0.9988013304438252,0.7818488289567069,0.2169525014871183
DecisionTree,30,4,7,gini,best,0.0,0.9986266898462369,0.7816713981547196,0.21695529169151728
DecisionTree,25,13,15,gini,random,0.001,0.987965675184365,0.7814496096522356,0.2065160655321293
DecisionTree,14,18,18,entropy,best,1e-06,0.9977693632762576,0.7808729595457772,0.21689640373048047
DecisionTree,30,5,20,log_loss,best,0.0,0.997586784469688,0.7808286018452804,0.2167581826244076
DecisionTree,30,11,16,entropy,best,0.0001,0.9978408071570892,0.7808286018452804,0.21701220531180887
DecisionTree,14,38,14,log_loss,best,0.0001,0.9978487453660705,0.7808286018452804,0.21702014352079013
DecisionTree,30,4,10,entropy,best,0.01,0.9825994459130131,0.7805180979418027,0.20208134797121036
DecisionTree,23,40,7,log_loss,best,0.01,0.9825994459130131,0.7805180979418027,0.20208134797121036
DecisionTree,5,5,15,entropy,best,1e-05,0.9862907130893128,0.7801632363378282,0.20612747675148457
DecisionTree,23,12,16,log_loss,random,0.001,0.9915378692259452,0.7790099361249113,0.2125279331010339
DecisionTree,32,6,12,entropy,random,0.0001,0.9965706937200829,0.7787437899219305,0.2178269037981524
DecisionTree,29,17,14,log_loss,random,0.001,0.9902677557889389,0.7780784244144784,0.2121893313744605
DecisionTree,33,14,16,gini,random,0.001,0.9847268859199987,0.7780340667139816,0.20669281920601712
DecisionTree,26,11,16,log_loss,best,1e-05,0.9979043128289395,0.7779009936124911,0.22000331921644845
DecisionTree,25,3,16,entropy,best,1e-05,0.9979043128289395,0.7779009936124911,0.22000331921644845
DecisionTree,23,15,11,log_loss,random,1e-05,0.9969358513332222,0.777235628105039,0.21970022322818317
DecisionTree,31,4,12,log_loss,random,1e-05,0.9967691489446151,0.7771912704045423,0.21957787854007282
DecisionTree,32,10,12,entropy,random,1e-05,0.9967691489446151,0.7771912704045423,0.21957787854007282
DecisionTree,30,3,12,entropy,random,0.0,0.9968326546164654,0.7771912704045423,0.21964138421192314
DecisionTree,27,4,12,log_loss,random,0.0,0.9968326546164654,0.7771912704045423,0.21964138421192314
DecisionTree,27,11,15,gini,best,1e-06,0.9979360656648647,0.7771469127040455,0.22078915296081925
DecisionTree,22,9,2,gini,random,0.0,0.9985790605923491,0.7762597586941093,0.22231930189823979
DecisionTree,20,2,9,log_loss,random,1e-06,0.9971422447667357,0.7760379701916252,0.2211042745751105
DecisionTree,34,13,16,gini,best,0.0,0.9978646217840331,0.7749290276792051,0.222935594104828
DecisionTree,33,9,16,gini,best,1e-05,0.9978646217840331,0.7749290276792051,0.222935594104828
DecisionTree,26,12,16,gini,best,0.0001,0.997642351932557,0.7747072391767211,0.22293511275583588
DecisionTree,28,17,8,entropy,random,1e-05,0.9973248235733054,0.7743523775727467,0.22297244600055877
DecisionTree,18,4,13,entropy,best,0.0001,0.9980472005906027,0.7739531582682754,0.22409404232232732
DecisionTree,33,3,14,log_loss,best,1e-05,0.9980313241726402,0.7738644428672817,0.22416688130535845
DecisionTree,30,6,14,log_loss,best,0.0001,0.9980154477546775,0.7737313697657914,0.22428407798888617
DecisionTree,27,4,15,log_loss,best,0.0,0.9980233859636589,0.7734652235628106,0.22455816240084836
DecisionTree,28,9,15,log_loss,best,1e-05,0.9980233859636589,0.7734652235628106,0.22455816240084836
DecisionTree,26,11,15,entropy,best,1e-06,0.9980233859636589,0.7734652235628106,0.22455816240084836
DecisionTree,30,18,15,log_loss,best,1e-05,0.9980233859636589,0.7734652235628106,0.22455816240084836
DecisionTree,29,6,14,gini,random,0.001,0.9851952402498948,0.7731103619588361,0.2120848782910587
DecisionTree,29,23,1,log_loss,random,0.001,0.9919665325109349,0.7724006387508872,0.21956589376004776
DecisionTree,16,26,19,gini,random,1e-06,0.9953561477459456,0.7714247693399574,0.2239313784059882
DecisionTree,25,30,18,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,28,10,4,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,28,5,10,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,30,13,8,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,28,14,15,entropy,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,30,9,9,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,24,14,9,entropy,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,26,12,12,entropy,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,32,7,10,entropy,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,26,6,11,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,31,8,13,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,32,3,12,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,31,5,9,log_loss,best,0.001,0.9954910972986275,0.7680535841022001,0.22743751319642735
DecisionTree,33,15,7,entropy,random,0.0,0.9975391552158002,0.7668115684882896,0.2307275867275106
DecisionTree,25,17,16,entropy,random,1e-05,0.9957371817770475,0.7625532292405962,0.2331839525364513
DecisionTree,28,17,16,log_loss,random,1e-05,0.9961261540171307,0.759403832505323,0.23672232151180772
DecisionTree,30,14,16,entropy,random,1e-05,0.9961261540171307,0.759403832505323,0.23672232151180772
DecisionTree,2,34,6,log_loss,random,0.0001,0.9430195359323029,0.7567423704755145,0.1862771654567884
DecisionTree,24,34,5,gini,random,0.01,0.9536329213402872,0.7507097232079489,0.20292319813233828
DecisionTree,7,7,7,entropy,random,0.01,0.966508696307939,0.7460965223562811,0.2204121739516579
DecisionTree,10,3,17,log_loss,random,0.01,0.9675327252665253,0.7457860184528035,0.22174670681372188
DecisionTree,10,31,15,log_loss,random,0.01,0.9679375739245711,0.7380234208658624,0.22991415305870877
